ticker,name,sector,industry,weight,change
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,0.3,
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,0.2,
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,0.1,
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,0.1,
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,0.1,
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,0.1,
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,0.1,
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,0.1,
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,0.1,
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,0.1,
OKE,ONEOK,Energy,Oil & Gas Storage & Transportation,0.1,
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,0.1,
TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,0.1,
EQT,EQT,Energy,Oil & Gas Exploration & Production,0.1,
HAL,Halliburton,Energy,Oil & Gas Equipment & Services,0.1,
TPL,Texas Pacific Land,Energy,Oil & Gas Exploration & Production,0.1,
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,0.1,
CTRA,Coterra,Energy,Oil & Gas Exploration & Production,0.1,
EXE,Expand Energy,Energy,Oil & Gas Exploration & Production,0.1,
APA,APA,Energy,Oil & Gas Exploration & Production,0.03,
NEE,NextEra Energy,Utilities,Multi-Utilities,0.3,
SO,Southern Company,Utilities,Electric Utilities,0.2,
CEG,Constellation Energy,Utilities,Electric Utilities,0.2,
DUK,Duke Energy,Utilities,Electric Utilities,0.2,
